SiO2 in FA,Na2O in FA,CaO in FA,Al2O3 in FA,Fe2O3 in FA,FA ,CAgg ,Fagg,SH,SS,EW,SP,SH concentration (Molarity),Percentage of SiO2 in SS,Percentage of Na2O in SS,Curing time (h),Curing temperature (°C),CS 
47.8,0.31,2.42,24.4,17.4,408,1201,647,41,103,20.7,6.1,14,29.4,14.7,24,60,45
47.8,0.31,2.42,24.4,17.4,408,1201,647,41,103,26.5,6.1,16,29.4,14.7,24,60,47
47.8,0.31,2.42,24.4,17.4,408,1201,647,41,103,0,6.1,8,29.4,14.7,24,90,68
47.8,0.31,2.42,24.4,17.4,408,1201,647,55.4,103,0,6.1,8,29.4,14.7,24,60,55
50.5,0.45,2.13,26.6,13.8,394,1201,647,52.57,105.14,21.47,6.1,14,29.4,14.7,24,60,29.71
50.5,0.45,2.13,26.6,13.8,409,1177,623,57.24,85.87,24.46,6.1,14,29.4,14.7,24,75,35.73
50.5,0.45,2.13,26.6,13.8,444,1177,623,44.44,111.11,18.55,6.1,14,29.4,14.7,24,60,38.69
50.5,0.45,2.13,26.6,13.8,498,1153,599,59.82,89.72,26.47,6.1,14,29.4,14.7,24,60,39.93
50.5,0.45,2.13,26.6,13.8,462,1177,623,46.15,92.31,18.61,6.1,14,29.4,14.7,24,75,42.51
50.5,0.45,2.13,26.6,13.8,463,1153,599,52.9,132.24,21.23,6.1,14,29.4,14.7,24,75,49.64
50.5,0.45,2.13,26.6,13.8,408,1201,647,62,93,4,0,14,28.9,9.1,24,60,32
50.5,0.45,2.13,26.6,13.8,408,1201,647,62,93,0,0,14,28.9,9.1,24,60,36
50.5,0.45,2.13,26.6,13.8,408,1201,647,68,103,0,0,14,28.9,9.1,24,60,48
65.4,0,1.26,20.7,6.2,378,1294,554,50,124,0,8,12,29.4,14.7,24,70,35.48
65.4,0,1.26,20.7,6.2,408,1201,647,63,138,0,8,12,29.4,14.7,24,70,53.5
48,0.39,1.76,29,12.7,404,1190,640,41,102,25.5,6,14,29.4,14.7,24,60,39.5
48,0.39,1.76,29,12.7,404,1190,640,41,102,17,6,14,29.4,14.7,24,60,49.5
48,0.39,1.76,29,12.7,404,1190,640,41,103,13.5,6,14,29.4,14.7,24,60,74
